I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
5292,1991,6,15,6/15/1991,11,15,28,10,5.5,PHILIPPINES,,"PHILIPPINES:  LUZON:  MANILA, PINATUBO ERUPTION",,e
5293,1991,6,16,6/16/1991,11,7,10.6,26,4.5,TURKEY,,TURKEY:  KAGIZMAN,,e
5294,1991,6,20,6/20/1991,5,18,52.5,31,7.5,INDONESIA,,"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO",,e
5295,1991,6,28,6/28/1991,14,43,54.5,11,5.1,USA,CA,"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES",,e
5296,1991,7,4,7/4/1991,11,43,10.4,29,6.5,INDONESIA,,"INDONESIA:  TIMOR:  KALABAHI, DILI",,e
5298,1991,7,12,7/12/1991,10,42,21.2,11,5.6,ROMANIA,,"ROMANIA:  BANLOC, DETA, TIMISOARA",,e
5299,1991,7,18,7/18/1991,11,56,30.6,12,5.6,ROMANIA,,ROMANIA:  ORSAVA,,e
5300,1991,7,23,7/23/1991,19,44,50.2,5,4.7,PERU,,"PERU:  MACA, CHIVAY, YANQUE",,e
5301,1991,7,24,7/24/1991,9,45,41.8,26,5.1,IRAQ,,"IRAQ:  ARBIL,  DIBS",,e
5302,1991,8,9,8/9/1991,9,33,49.6,5,4.7,COSTA RICA,,COSTA RICA:  CARTAGO,,e
5303,1991,8,17,8/17/1991,6,18,34,10,5.2,VENEZUELA,,VENEZUELA:  BARQUISIMETO,,e
5304,1991,8,17,8/17/1991,19,29,40,12,6.2,USA,CA,"CALIFORNIA:  HONEYDEW, WHITETHORN, PETROLIA",,e
5305,1991,9,8,9/8/1991,13,50,30.8,88,5.6,NEW ZEALAND,,"NEW ZEALAND:  WELLINGTON, WANGANUI",,e
5306,1991,9,18,9/18/1991,9,48,13.1,5,6.2,GUATEMALA,,"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA",,e
6481,1991,10,14,10/14/1991,15,58,12.7,23,7.2,SOLOMON ISLANDS,,SOLOMON ISLANDS,,e
5307,1991,10,19,10/19/1991,21,23,14.3,10,7,INDIA,,"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",,e
5309,1991,11,4,11/4/1991,1,50,31.6,39,5.4,IRAN,,IRAN:  BEHBAHAN,,e
5310,1991,11,8,11/8/1991,15,13,44.1,22,5,INDIA,,"INDIA:  JODHPUR, JAISALMER",,e
5311,1991,11,19,11/19/1991,22,28,51,21,6.4,COLOMBIA,,"COLOMBIA:  CHACO, BUENAVENTURA, CALI",,e
5312,1991,11,22,11/22/1991,0,40,23.9,10,4.7,YEMEN,,YEMEN:  WESTERN  ARABIAN PENINSULA,,e
5313,1991,11,28,11/28/1991,17,19,55.5,16,5,IRAN,,"IRAN:  RUDBAR, RASHT",,e
5314,1991,12,2,12/2/1991,8,49,40.2,9,5.5,ROMANIA,,"ROMANIA:  VOITEG, DETA, BANLOC",,e
6482,1991,12,22,12/22/1991,8,43,13.4,24,7.6,RUSSIA,,"RUSSIA:  KAMCHATKA, KURIL ISLANDS",,e
6483,1992,1,5,1/5/1992,6,,,8,3.7,CHINA,,CHINA:  S. CHINA SEA,,e
8252,1992,2,1,2/1/1992,19,4,4.5,100,5.6,JAPAN,,JAPAN:  HONSHU:  TOKYO,,e
5315,1992,2,4,2/4/1992,1,58,39.7,58,4.4,INDONESIA,,"INDONESIA:  JAWA, BREBES",,e
5316,1992,3,4,3/4/1992,11,57,53,18,4.6,IRAN,,IRAN:  LORDEGAN ARDAL AREA,,e
5317,1992,3,13,3/13/1992,17,18,39.9,27,6.9,TURKEY,,TURKEY:  ERZINCAN,,e
5319,1992,4,13,4/13/1992,1,20,0.8,21,5.2,NETHERLANDS,,"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG",,e
5320,1992,4,23,4/23/1992,4,50,23.2,12,6.3,USA,CA,"CALIFORNIA:  JOSHUA TREE, ANGELUS OAKS",,e
5321,1992,4,25,4/25/1992,18,6,4.2,15,7.1,USA,CA,"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",,e
